post_time,post_id,message,First category,Second category
5/9/2018 15:46,000062c103eeddb29005975db731120a,Olivia Leigh Vanderhoof OMG LOOKIT HOW THEY ARE IM DYEN HERE,,
5/9/2018 15:41,00011314918d2d04a460f418ef6a079b,Cause I went to bed on top of the world<NL>Today the worlds on top of me,Sharing negative emotions/news,
5/9/2018 15:41,0006ab7afec915dfc9725361d8f7150c,-Кого ты любишь?<NL>-Маму<CM> зелёный чай<CM> цветы<CM> конфеты<CM> высокие каблуки<CM>яркие помады...<NL>-А как же он?<NL>-А без него я жить не могу!😃😃😃,,
5/9/2018 15:41,000971478e54df612a73428bc64b53d2,My phones Damn near more Of An Asshole then i am😂😂😂😂.Shit been threw hell.  And Still came back after the fire And Bremstone.,,
5/9/2018 15:41,000d3d50eef8787c0e4673d3bfe3f855,✨idfc💎,,
5/9/2018 15:46,001375924c396dea483b4a0a8f70f6ab,I need this in my life,,
5/9/2018 15:41,001b1ee2b23b2cf3d2dac14cdf632afc,Yump,,
5/9/2018 15:41,001b2667a5f5020466eb440e101dd615,I need more form SamSmith 🎶🎶,,
5/9/2018 15:41,001b81ead9d441c8fb6932a8c5db6e74,I'll still take ya head off for em YA DIG🤙🏾,,
5/9/2018 15:41,001c7b32b054c33fa60fd79d6afb3800,Lmfao!!!!,,
5/9/2018 15:41,00208d7eb5372ed054ead6966e6a1c67,When I look in the mirror or catch my reflection. Aye. 👑👏,,
5/9/2018 15:41,0021990fc498366b200ebf9396898f0c,Can't know what real is till you ask real,,
5/9/2018 15:41,00219e9183f5793326c69004291dee37,Alex Mateos 😂,,
5/9/2018 15:41,0026a0cd21750a40744663b663fc3319,Seeing you today made my whole life a lot better<NL>#Andre😍😍😍😘😘😘😘,Sharing negative emotions/news,
5/9/2018 15:41,002b63b70d8d4e979250b9e3b1955acd,Staying with mom for a little while until I get back on my feet,,
5/9/2018 15:41,002bcd34fa86d03af1fe701303e3b553,Did you choose your religious beliefs...<NL>Or did your parents/society/culture choose ?,,
